Country,Income Group,Subagency,Category,Subcategory,Implementing Partner,Sector,Subsector,Project Name,"Project Name - Local Language
(if applicable)",Project Number,Start Date,End Date,Transaction Type,Fiscal Year,Current Amount,Constant Amount,Aid Type,Description,USG Sector,Reported Results,Key Words/Metatags,Factsheet,Reports,Regional Info,Country Info,J2SR Roadmap,CDCS,118/119,Write-Ups,Photos,Videos,Social Media,Implementing Partner Page,Project Page or Associated Sites/Products
Brazil,Upper Middle Income Country,Bureau for Latin America and Caribbean,NGO,NGO - Non United States,Centro de Trabalho Indigenista,General Environmental Protection,Bio-diversity,Ethno-Environment Protection of Isolated Peoples in the Brazilian Amazon,Projeto de Proteção Etno-Ambiental dos Índios Isolados da Amazônia Brasileira,AID-512-A-00-08-00005,10/1/2008,9/30/2011,Obligations,2017,"($20,115.00)","($24,733.00)",Project,"The only mentions of this project found in online sources are of a meeting that was supported by this project. It appears that the project, in part, helped to coordinate a meeting from 4-6 June 2009 with leaders of the Marubo, Matis and Kanamary Indians from the Ituí and Itaquaí rivers to discuss relationships for sharing contiguous territories and strategies for the protection of isolated Indians and recent contact in the Vale do Javari Indigenous Territory. The implementing partner, CTI, supported this meeting and cooperates with the General Coordination of Isolated Indians (CGII), one of the meeting organizers, through this project mechanism.",Natural Resources and Biodiversity,,"indigenous peoples, vulnerable population",,"Ethno-environment Corridors in the Brazilian Amazon: https://www.land-links.org/project/ethno-environment-corridors-in-the-brazilian-amazon/,",Latin America and the Caribbean,https://www.usaid.gov/brazil,https://selfreliance.usaid.gov/country/brazil,,,"Frente de Proteção preocupada com destino dos índios isolados no Vale do Javari: https://cimi.org.br/2009/06/28794/,
Frente Etno-Ambiental da FUNAI reúne lideranças indígenas: https://trabalhoindigenista.org.br/frente-etno-ambiental-da-funai-reune-lideranc-indigenas-do-vale-do-javari-para-discutir-estr/,",,,,"Centro de Trabalho Indigenista: https://trabalhoindigenista.org.br/home/,",
Brazil,Upper Middle Income Country,Bureau for Latin America and Caribbean,NGO,NGO - International,"World Vision
Operação Amazônia Nativa (OPAN)",General Environmental Protection,Bio-diversity,Aldeias: Conservation in the Indigenous Amazon Environmental,Projeto Aldeias – Conservação na Amazônia Indígena,AID-512-A-00-08-00015,10/1/2007,9/30/2011,Obligations,2017,"($3,105.00)","($3,279.00)",Project,"The Aldeias Project was developed in 7 indigenous lands in the state of Amazonas, in the basins of the Purus, Juruá and Jutaí rivers. It is an initiative of OPAN and World Vision with support from the United States Agency for International Development (USAID). The two main objectives of the program were to support biodiversity conservation and natural resource management in the Katukina do Biá, Deni, Paumari do Rio Cuniuá, Paumari do Lago Paricá and Paumari do Lago Manissuã indigenous lands; in addition to strengthening local and regional indigenous organizations. There was also a component in partnership with the Coordination of Isolated Indians and Recent Contact (FUNAI / CGIIRC), for the ethno-environmental protection of the Hi Merimã and Suruaha indigenous peoples, within the framework of the Purus Front for Ethno-environmental Protection.",Natural Resources and Biodiversity,,"conservation, livelihoods, indigenous peoples, vulnerable population, self-reliance, NRM, natural resource management, governance",,"OPAN 2010 report: https://amazonianativa.org.br/wp-content/uploads/2019/05/Relat%C3%B3rio-Institucional-OPAN-2010.pdf
OPAN 2011 report: https://amazonianativa.org.br/wp-content/uploads/2019/05/Relat%C3%B3rio-Institucional-OPAN-2011.pdf,",Latin America and the Caribbean,https://www.usaid.gov/brazil,https://selfreliance.usaid.gov/country/brazil,,,"COPIJU (Council of the Indigenous Peoples of Jutaí) Life Plan: https://issuu.com/amazonianativa/docs/2011_plano_de_vida_copiju,",,,,"OPAN: https://amazonianativa.org.br/,

World Vision: https://www.worldvision.org/,",
Brazil,Upper Middle Income Country,Bureau for Latin America and Caribbean,NGO,NGO - Non United States,Alianca da Terra,General Environmental Protection,Bio-diversity,Governance in Environment Frontiers (Alianca da Terra),,AID-512-A-10-00004,9/30/2010,9/30/2013,Obligations,2017,"($24,209.00)","($26,378.00)",Project,"This project aims to increase conservation compliance and environmental management on private properties on the Amazon fringe in the Xingu region in the state of Mato Grosso. Main objectives of the project are to: (1) improve the socio-environmental situation of registered farms, (2) build the capacity of firefighters and communities to combat and reduce the frequency of fires in the region, and (3) disseminate best practices, advances, and results of activities of Alianza da Terra for the general community and rural producers.",Natural Resources and Biodiversity,,"conservation, deforestation, private sector engagement, livelihoods, farming, NRM, natural resource management, governance, fire management",,,Latin America and the Caribbean,https://www.usaid.gov/brazil,https://selfreliance.usaid.gov/country/brazil,,,"PPT project description: https://www.slideshare.net/USAIDBrasil/8-alianca-da-terra,
Amazon gets support from +Unidos: https://riotimesonline.com/brazil-news/rio-business/amazon-gets-support-from-unidos/,","Quelônios (same region, project with river turtles): https://www.flickr.com/photos/usaid_brazil/albums/72157629055941029,

Xavante Fire Brigade: https://www.flickr.com/photos/usaid_brazil/albums/72157629055249917,",,,"Alianca da Terra: https://www.aliancadaterra.org/,",
Brazil,Upper Middle Income Country,Bureau for Latin America and Caribbean,NGO,NGO - International,The Nature Conservancy,General Environmental Protection,Biosphere protection,REDD+ Readiness in Brazil (RRB),,AID-512-A-11-00004,9/30/2011,9/29/2013,Obligations,2017,"($69,819.00)","($77,764.00)",Project,"The overall objective of the RRB Project is to support Brazil to increase sub-national REDD+ readiness in the states of Mato Grosso and Pará. Specific objectives are (1) Increased civil society participation in state and municipal land use planning, (2) Land use/REDD+ plans developed at state level and integrated at municipal and national levels, (3) REDD+ relevant laws, policies, and regulations developed and/or implemented, (4) Options for carbon financing and distribution mechanisms assessed, (5) Increased knowledge of land management best practices on private lands, and (6) Economic incentives to use land management best practices reinforced and expanded.",Clean Productive Environment,"- Registered a total of 12,824 private properties, adding an area of 9,147,129 hectares into the state monitoring system.
- Initiated the restoration of a total of 337ha of degraded-abandoned pastures
- Implemented 10 good agricultural practices (BPA) projects in a total area of 312ha of degraded pastures","conservation, deforestation, conservation crime, private sector engagement, livelihoods, indigenous peoples, illegal logging, climate change, REDD+, conservation enterprise, farming, NRM, natural resource management, governance",,Final Performance Report (2013): https://pdf.usaid.gov/pdf_docs/PA00JM1P.pdf,Latin America and the Caribbean,https://www.usaid.gov/brazil,https://selfreliance.usaid.gov/country/brazil,,,,,"RRB sponsored a video about all projects implemented in São Félix do Xingu (PA) to disseminate results and engage other municipalities: http://bit.ly/192BeEr,",,"TNC: https://www.nature.org/en-us/,",
Brazil,Upper Middle Income Country,Bureau for Latin America and Caribbean,Enterprises,Enterprises - Non United States,Natura and Co.,General Environmental Protection,Bio-diversity,Sustainable Palm Oil - TFA 2020,,AID-512-A-16-00001,4/18/2016,4/17/2019,Obligations,2018,"$900,000.00 ","$896,878.00 ",Project,"In the Brazilian Amazon, plantations for oil palm production are expanding rapidly. Under business-as-usual, this expansion may be characterized by the same patterns of environmental and social impacts that have occurred in Southeast Asia. USAID is supporting the development of a research-in-development program that will provide, particularly to smallholders, an option to palm oil production away from business-as-usual. The overall goal is to enhance the socio-environmental benefits of the palm oil value chain, strengthening smallholder livelihoods while enhancing environmental services and reducing deforestation and land degradation. The project builds upon Natura's experience in the development of participatory agroforestry-based palm oil production, and it is in line with the Tropical Forest Alliance (TFA 2020) initiative which aims to zero out deforestation to produce commodities in tropical forests until 2020.",Natural Resources and Biodiversity,,"conservation, deforestation, private sector engagement, livelihoods, innovation, conservation enterprise, farming",,"Report on project results - European Tropical Forestry Research: https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwj79Y-i_c7qAhXrDmMBHdz-ALUQFjABegQIAhAB&url=http%3A%2F%2Fwww.etfrn.org%2Ffile.php%2F443%2F2-3miccolis.pdf&usg=AOvVaw3oLVguNG6IvMmHyAqwRUJb,",Latin America and the Caribbean,https://www.usaid.gov/brazil,https://selfreliance.usaid.gov/country/brazil,,,https://pcabhub.org/en-us/about/projects/dende-palm-oil-diversification-reconciling-livelihood-with-conservation-in-the-production-of-dende-palm-oil,"Sustainable palm oil plantation: https://pcabhub.org/en-us/about/projects/saf-dende-paisagem-cobertura-florestal.jpg/@@images/339d54f0-d43b-421a-b0d8-98e06fe0fc61.jpeg,","NaturaBrazil sustainable palm oil: https://www.youtube.com/watch?v=TwzaeI-bHmg,",,"Natura Brasil: https://www.naturabrasil.com/,",
Brazil,Upper Middle Income Country,Bureau for Latin America and Caribbean,Universities and Research Institutes,Universities and Research Institutes - Non United States,Instituto de Pesquisas Ecologicas (IPÊ),General Environmental Protection,Bio-diversity,USAID/Brazil Participatory Monitoring of Biodiversity in Amazon Conservation Units,Projeto Monitoramento Participativo da Biodiversidade (MPB),AID-512-A-16-00002,6/20/2016,6/19/2021,Obligations,2019,"$1,360,281.00 ","$1,256,847.00 ",Project,"The Participatory Biodiversity Monitoring (MPB) in Amazon Conservation Units project is developed by IPÊ in partnership with ICMBio with support from the Gordon and Betty Moore Foundation and USAID. The project supports biodiversity monitoring and promotes socioenvironmental engagement to strengthen the management and conservation of Brazil's conservation units. MPB seeks to democratize scientific knowledge and information in communities linked to 17 conservation units in the Legal Amazon to enable them to develop their own action plans. The MPB project undertakes participatory monitoring in areas identified by communities, such as Brazil nut and chestnut production, fishing, and local animals, such as turtles, peacock bass and pirarucus. The project is an extension of the Monitora program, which established three standard protocols for monitoring biodiversity in conservation units.",Natural Resources and Biodiversity,"- A monitoring initative covering 750,794 ha in the Cazumbá-Iracema Reserve in the state of Acre created a production protocol for Brazil nuts, which is now being implemented in another four conservation units (extractive reserves) in the state of Rondônia: one on the Ouro Preto River, one on the Cuniã Lake, and two on the Cautário River. 
- Throughout the 2019 season, a record number of turtle chicks were released through the Trombetas River Chelonian Program – over 50,000. There was also an increase in the number of spawning females on the Trombetas riverbanks: over 800 individuals (versus a previous high of less than 600).","conservation, livelihoods, indigenous peoples, fisheries, vulnerable population, wildlife trafficking, self-reliance, conservation enterprise, farming, NRM, natural resource management, governance, monitoring",,,Latin America and the Caribbean,https://www.usaid.gov/brazil,https://selfreliance.usaid.gov/country/brazil,,,PCAB - Participatory Biodiversity Monitoring project aims to democratize knowledge in the Legal Amazon,,"Video series - biodiversity participatory monitoring: https://pcabhub.org/en-us/resources/multimedia/video-series-biodiversity-participatory-monitoring,",,"Instituto de Pesquisas Ecologicas: https://www.ipe.org.br/,",
Brazil,Upper Middle Income Country,Bureau for Latin America and Caribbean,NGO,NGO - Non United States,SITAWI,General Environmental Protection,Bio-diversity,Partnerships with Private Sector in Biodiversity Conservation - Médio Juruá Project,Programa Território Médio Juruá,AID-512-A-17-00002,6/30/2017,6/28/2020,Obligations,2020,"$691,262.00 ","$636,819.00 ",Project,"Managed by SITAWI with the support of USAID, Natura, and Coca-Cola Brazil, the Médio Juruá Project in the Carauari municipality in the state of in Amazonas invests in socio-biodiversity productive chains of products such as açaí, andiroba and murumuru, and implements social development projects that prioritize environmental sustainability and contribute to the conservation of biodiversity within the reserves and in their surrounding areas. The project area encompasses 64 riverine communities (including over 600 families) concentrated in two extractive reserves: Medio Juruá Extractive Reserve and Uacari Sustainable Development Reserve.",Clean Productive Environment,"- The program, implemented through the local Rural Producers Association (ASPROC), worked with the Liter of Light NGO and their volunteer network to provide lamps to 600 families in riverine communities.","private sector engagement, indigenous peoples, vulnerable populations, livelihoods, innovation, self-reliance, conservation enterprise, farming, NRM, natural resource management",,"PCAB Annual Report (2018) (p. 60): https://pcabhub.org/en-us/resources/annual-reports-1/annual-report-pcab-2018.pdf/view,",Latin America and the Caribbean,https://www.usaid.gov/brazil,https://selfreliance.usaid.gov/country/brazil,,,"https://www.cocacolabrasil.com.br/imprensa/release/forum-de-desenvolvimento-territorial-do-medio-jurua-recebe-aporte-de-us-2-3-milhoes-da-usaid

https://pcabhub.org/en-us/about/projects/medio-jurua-river-territory-2013-raising-the-bar

",,,"SITAWI post about program: https://www.facebook.com/FinancasdoBem/photos/a-asproc-associa%C3%A7%C3%A3o-dos-produtores-rurais-de-carauari-parceira-da-sitawi-no-prog/2038625746210073/,","SITAWI: https://www.sitawi.net/,",
Brazil,Upper Middle Income Country,Bureau for Latin America and Caribbean,NGO,NGO - Non United States,Equipe de Conservacao da Amazonia (ECAM),General Environmental Protection,Bio-diversity,"New Technologies and Traditional Peoples' Program

""Sharing Worlds""",,AID-512-A-17-00007,11/23/2016,11/22/2020,Obligations,2019,"$1,238,416.00 ","$1,204,021.00 ",Project,"The project builds the capacity of traditional peoples and quilombola groups to use innovation and technology in pursuit of efficiently managing their land and preserving their culture. The project also supports public institutions and helps small farmers increase production efficiency. ECAM is building capacity with two technologies in particular: Google Earth and Open Data Kit (ODK). Google Earth enables forest-dependent communities to map features of their territories--such as infrastructure, cultural elements, and production areas--while ODK supports data collection and management. ODK allows users to study specific communities, understand their socio-economic profile, and develop their own Life Plans that guide the management of their territories. The project aims to benefit indigenous communities in Brazil’s Para state and more than 100 quilombola communities from six Amazon states (Maranhão, Tocantins, Mato Grosso, Amapa, Para and Rondonia). It covers an area of over 1.6 million hectares.",Natural Resources and Biodiversity,,"innovation, livelihoods, indigenous peoples, vulnerable population, self-reliance, conservation enterprise, water, NRM, natural resource management, governance",,"PCAB Annual Report (2018) (p. 64): https://pcabhub.org/en-us/resources/annual-reports-1/annual-report-pcab-2018.pdf/view,",Latin America and the Caribbean,https://www.usaid.gov/brazil,https://selfreliance.usaid.gov/country/brazil,,,"Quilombola youth leader presents project on mapping and data collection: https://pcabhub.org/en-us/news/pcab-news-highlights/quilombola-youth-leader-presents-project-on-mapping-and-data-collection-at-google-conference,

New Technologies help communities improve territorial management: https://pcabhub.org/en-us/about/projects/new-technologies-and-communities,",Photos can be found in the project detail dropdowns on this page: http://ecam.org.br/en/social-projects/,"Presentation of Youth Leader on Mapping Project - https://youtu.be/0h_gRak6yc8

Ethnomapping with Google Earth - https://youtu.be/siRdU-aCBhk",,ECAM Site: http://ecam.org.br/,"Project Site: https://sites.google.com/site/mapeamentoetnografico/cultural-mapping-with-Google-Earth,"
Brazil,Upper Middle Income Country,Bureau for Latin America and Caribbean,NGO,NGO - United States,Conservation International,General Environmental Protection,Bio-diversity,Brazil Partnership Development Program,,AID-512-G-10-00006,9/29/2010,4/30/2012,Obligations,2017,"($15,721.00)","($16,829.00)",Project,Brazil Partnership Development Program,Natural Resources and Biodiversity,,,,,Latin America and the Caribbean,https://www.usaid.gov/brazil,https://selfreliance.usaid.gov/country/brazil,,,,,,,"Conservation International: https://www.conservation.org/,",
Brazil,Upper Middle Income Country,Bureau for Latin America and Caribbean,Government,Government - United States,U.S. Government - Department of Agriculture,General Environmental Protection,Bio-diversity,USFS Inter-agency agreement (IAA),,AID-512-T-15-00001,9/30/2015,5/30/2020,Obligations,2020,"$436,016.00 ","$405,197.00 ",Project,"The focus of this IAA with the USFS is the first sub-purpose, or ""Intermediate Result"" of the USAID/Brazil Environment Strategy: ""Biodiversity conservation efforts strengthened in priority protected areas."" USFS will provide technical assistance to the Ministry of Environment, the Chico Mendes Institute for Biodiversity (which manages national parks and other protected areas) and other GOB agencies working in biodiversity conservation. The USFS's work in Brazil includes trail and protected area management, fire management and training, fisheries monitoring and management, Brazil nut and acai value chain improvement and training, and other areas. (IM# 57639; GCC-SL indirect: $2,400,000)",Natural Resources and Biodiversity,,"conservation, deforestation, livelihoods, indigenous peoples, fisheries, Amazon Vision, vulnerable population, self-reliance, conservation enterprise, farming, NRM, natural resource management, governance, fire management, monitoring",,"PCAB Annual Report (2018): https://pcabhub.org/en-us/resources/annual-reports-1/annual-report-pcab-2018.pdf/view,",Latin America and the Caribbean,https://www.usaid.gov/brazil,https://selfreliance.usaid.gov/country/brazil,,,"Q&A with ICMBio staff on USFS/USAID partnership work: https://pcabhub.org/en-us/news/pcab-news-highlights/exchanging-experiences-on-volunteering-and-shared-management 

Fisheries management: https://pcabhub.org/en-us/news/pcab-news-highlights/discussing-community-management-and-monitoring-of-pirarucu-in-protected-areas 

Fire training: https://pcabhub.org/en-us/news/pcab-news-highlights/strengthening-brazil2019s-capacities-on-fire-management-response-and-prevention 

USFS Chief visits Brazil programs: https://www.fs.usda.gov/inside-fs/delivering-mission/apply/forest-service-chief-visits-brazil-engage-partnership-programs

USFS/PCAB newsletter - overview of several activities USFS is involved with: 
https://www.fs.usda.gov/sites/default/files/media_wysiwyg/brazil_program_newsletter_6_english.pdf",,,,"USFS: https://www.fs.usda.gov/ 
","PCAB: https://pcabhub.org/,"
