Region,Project_Number,Report_Title,Link,Filename (MACOSX),Search_Notes,Filename,Processing_Notes,Auto_Summary,Notes
Brazil,AID-512-A-00-08-00005,Frente de Proteção preocupada com destino dos índios isolados no Vale do Javari,https://cimi.org.br/2009/06/28794/,Protection Front concerned with the fate of isolated Indians in the Javari Valley (AM).txt,,Protection Front concerned with the fate of isolated Indians in the Javari Valley (AM).txt,,"In August 1982, the indigenist Pedro Coelho, flying over the interflow of the Ituí and Itaquaí rivers, located 9 Korubo Indian longhouses, only one of which was uninhabited. throughout the spawning period of the “hoofed animal”, the indigenous people , or traces of these, were not found in Ituí or Itaquaí. - These stays can have serious consequences, the most worrying being the spread of infectious and vector diseases, such as flu, malaria and filariasis. Around this same period, the Kanamari made, in a space of thirty to forty days, at least five contacts with the group. In May, they returned to the same river, near the Volta da Curica, being spotted by Funasa teams. In the following year they were seen again, also in Itaquaí, by indigenous Kanamari and by other Funai and Funasa vessels that sailed on that river. From then on, the Korubo returned to occupy the banks of the rivers, being spotted by Matis Indians on the Ituí River in June 2005.",Translated from portuguese
Brazil,AID-512-A-00-08-00005,Frente Etno-Ambiental da FUNAI reúne lideranças indígenas,https://trabalhoindigenista.org.br/frente-etno-ambiental-da-funai-reune-lideranc-indigenas-do-vale-do-javari-para-discutir-estr/,FUNAI's Ethno-Environmental Front brings together indigenous leaders from Vale do Javari to discuss protection strategies for isolated Indians.txt,,FUNAI's Ethno-Environmental Front brings together indigenous leaders from Vale do Javari to discuss protection strategies for isolated Indians.txt,,"Community (CGDC-DAS), all from Brasília, and the regional administrator of the agency in Atalaia do Norte, in addition to the team of the Ethno-Environmental Protection Front (FPEVJ-FUNAI). It also had the participation of indigenous organizations (UNIVAJA, AMAS, AIMA and ASKAJAVA) and indigenists (CTI) working in the Amazon region. For Ivan Shunun Matis from Beija-flor village, the important thing is not to stop at the riverbank, even if the Korubo appear calling. “FUNAI values ​​dialogue with communities, the exchange of information, and this meeting is for that. “Our obligation is to make sure that these indigenous people can live well, and for that we need the collaboration of all the indigenous peoples of the TIVJ”. 25 points have been agreed, ranging from awareness work in their villages to their participation in the protection process. Many leaders present complained about the lack of partnership between FPEVJ and the indigenous people in carrying out the work.",Translated from portuguese
Brazil,AID-512-A-11-00004,Final Performance Report (2013),https://pdf.usaid.gov/pdf_docs/PA00JM1P.pdf,PA00JM1P.pdf,,PA00JM1P.pdf,,"RRB developed studies to identify, assess and recommend economic incentives and financing mechanism based on fiscal incentives, premium prices, credit, and CRA emerging markets. The Pact was signed by 50 entities, including local communities, producers unions, government agencies, and other stakeholders. RRB completed 18 PRADAs in SFX, including field surveys, environmental diagnosis, and individual restoration plans (PRADAs) for 18 pilot farms located in SFX. Plan the methodology, undertake, and finalize the assessment report RRB finalized and published the assessment report (# 1 - Index) on capacity needs of civil society for REDD+.
",edited for clarity
Brazil,AID-512-A-16-00001,Report on project results - European Tropical Forestry Research,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwj79Y-i_c7qAhXrDmMBHdz-ALUQFjABegQIAhAB&url=http%3A%2F%2Fwww.etfrn.org%2Ffile.php%2F443%2F2-3miccolis.pdf&usg=AOvVaw3oLVguNG6IvMmHyAqwRUJb,2-3Miccolis.pdf,,2-3Miccolis.pdf,,"Trent Blare is Social Scientist, WorldAgroforestry (ICRAF), Lima, Peru; Debora Castellani works at Bio-agriculture Research Programme, Natura Brasil, São Paulo, Brazil. In addition to oil palm, the plots included a combination of other fruits, hardwoods, green manures, and annual crops, with a wide variation in spatial arrangements. Equitable value chain development for other products: processing and marketing of cacao, black pepper, açai, cassava and passionfruit, among others, implying investments in processing and strengthening smallholder organizations. The practices yielded highly encouraging results in productivity and environmental co-benefits, including increases in carbon stor-age capacity (Ramos et al. 2018), soil fertility, nutrient cycling and biodiversity. Tomé-Açu (CAMTA), the Brazilian Agricultural Research Corporation (Embrapa) and World Agroforestry Centre (ICRAF), an interna-tional research centre. PLANTSAFS supports diagnosis and design of agroforestry inter-ventions based on 40 indicators of household livelihood assets, constraints, aspirations, objectives and biophysical-agroecological conditions.
",edited for clarity
Brazil,AID-512-A-16-00002,PCAB - Participatory Biodiversity Monitoring project aims to democratize knowledge in the Legal Amazon,https://pcabhub.org/en-us/news/pcab-news-highlights/participatory-biodiversity-monitoring-project-aims-to-democratize-knowledge-in-the-legal-amazon,Participatory Biodiversity Monitoring project aims to democratize knowledge in the Legal Amazon.txt,,Participatory Biodiversity Monitoring project aims to democratize knowledge in the Legal Amazon.txt,,"Pedro Farias, from the Tambaquizinho Community, summarized his views as such, “Within the reserve, there is a protected area, and an area that we can use. When dealing with environmental conservation, if you involve people and develop your actions together, they understand the importance of that,” she adds. In February, a meeting was held with the Tambaquizinho community, in the Abufari Biological Reserve (AM), which brought together 44 people. The initial aim was to monitor the behavior of jaguars, but after discussions with the community, the focus was shifted to Brazil nuts, instead. As a result, conservation units had to close, and the project's face-to-face activities were suspended in March. Another example is the monitoring of turtles, which started in two neighboring conservation units, but has already been extended to another two. In addition, a new calendar was proposed, taking into account the monitoring activities held at the Jamari National Forest and the Samuel Ecological Station.",
Brazil,AID-512-A-17-00002,PCAB Annual Report (2018) (p. 60),https://pcabhub.org/en-us/resources/annual-reports-1/annual-report-pcab-2018.pdf/view,Impact in the field Medio Jurua territory.txt,,Impact in the field Medio Jurua territory.txt,,"“Each of us had a task: painting lamps, looking after children, carrying boxes, etc. The Médio Juruá territory, where Coca-Cola, Natura, USAID and SITAWI implement a partnership becamea Ramsar site in October. The program, implemented through the local Rural Producers Association (ASPROC), worked with the Liter of Light NGO and their volunteer network to provide lamps to 600 families in riverine communities. For some of the region’s riverine settlements, diesel powered generators were the only energy option available, but these were only turned on for a few hours each evening due to the high costs involved. “Living without electricity isn’t a good thing,” says Marcos Oliveira de Souza, son of a local leader at the Nova Esperança community in Carauari. In addition, it will be possible to work in the fields or to grind our manioc flour until late,” explains Marcos. For Lucinete Cunha, a member of SITAWI’s field staff based in Carauari, “taking part in the Liter of Light activity was much more than just work.",
Brazil,AID-512-A-17-00002,"Fórum de Desenvolvimento Territorial do Médio Juruá/AM recebe aporte de US$ 2,3 milhões da USAID",https://www.cocacolabrasil.com.br/imprensa/release/forum-de-desenvolvimento-territorial-do-medio-jurua-recebe-aporte-de-us-2-3-milhoes-da-usaid,Middle Juruá AM Territorial Development Forum receives US $ 2.3 million from USAID.txt,,Middle Juruá AM Territorial Development Forum receives US $ 2.3 million from USAID.txt,,"With the diagnosis - prepared with technical support from Ipsos -, companies, government agencies, NGOs and social movements can align investment efforts in the region. Luciana Villa Nova, Natura's Sustainability manager, comments that to improve the quality of life in the region, the partnership needs to go beyond measuring local development conditions . The Territorial Development Forum of the Middle Juruá (AM) has just received a contribution of US $ 2.3 million from USAID, the international development agency of the US government. The generation of income of extractive families also advanced in the period, with a 9% increase among the urban population and 5% among the riverside residents . do Bem, which mobilizes capital for positive socio-environmental impact. Another aspect with a positive evolution is the access to basic knowledge, which increased six percentage points in both cases. SITAWI will be the executor of the project financed by USAID and responsible for coordinating the activities, in partnership with organizations in the territory.",translated from Portuguese
Brazil,AID-512-A-17-00002,Médio Juruá River Territory,https://pcabhub.org/en-us/about/projects/medio-jurua-river-territory-2013-raising-the-bar,Médio Juruá River Territory.txt,,Médio Juruá River Territory.txt,,"With the support of USAID under an initiative led by Natura and Coca-Cola Brazil, SITAWI –a pioneer organization in the development of financial solutions for social impact and in the social-environmental performance analysis of companies and financial institutions - will manage a development project in the Médio Juruá region, within the Carauari municipality in the state of in Amazonas. The area encompasses 64 riverine communities concentrated in two extractive reserves: Medio Juruá Extractive Reserve and Uacari Sustainable Development Reserve. The plan has two focuses: investing in socio-biodiversity productive chains, and implementing social development projects that prioritize environmental sustainability and contribute to the conservation of biodiversity within the reserves and in their surrounding areas. The project is being implemented in partnership with the Médio Juruá Land Development Forum, which includes the Sustainable Amazon Foundation (FAS), the Carauari Farmers Association (ASPROC), the Uacari Extractive Reserve Association (AMARU), the São Raimundo Extractive Community Association (AMECSARA), and the Medio Juruá Agro-extractive Women’s Association (ASMAMJ), among others.",summary is full text
Brazil,AID-512-A-17-00007,PCAB Annual Report (2018) (p. 64),https://pcabhub.org/en-us/resources/annual-reports-1/annual-report-pcab-2018.pdf/view,Impact in the field Using technology to nurture sustainability.txt,,Impact in the field Using technology to nurture sustainability.txt,,"Back in 2015, Rogério de Oliveira Pereira exchanged a hoe for a notebook as his main working tool. And then balancing his farming activities with his responsibilities at the quilombola association, and those under the project. We heard stories, we learned about our history”. Some of the lakes have shared fishing rights with other communities (mainly indigenous) under fishing agreements. Many of these communities and areas were only accessible by riverways on trips that took several days. We felt as if we were taking classes about our own identity.",edited for clarity
Brazil,AID-512-A-17-00007,Quilombola youth leader presents project on mapping and data collection at Google Conference,https://pcabhub.org/en-us/news/pcab-news-highlights/quilombola-youth-leader-presents-project-on-mapping-and-data-collection-at-google-conference,Quilombola youth leader presents project on mapping and data collection at Google Conference.txt,,Quilombola youth leader presents project on mapping and data collection at Google Conference.txt,,"Then another leader who was there also noticed that, and went, ‘Wow, this looks cool, the other communities already have it, let's do the same...’ Patrícia: “In the past, our quilombola communities were only visited by scholars, anthropologists, geographers, university personnel. My mother asked me the same thing, and I told her, ‘Mom, this is very enriching: mapping a quilombola area. Before the trip, Patrícia, who is an educator and also owns a cassava flour mill, was both nervous and thrilled: But then I said, ‘Why not?’ – though I thought they’d never pick me because I'm 31 already, and Sharing Worlds is a project for young people. We would call the community leaders on the previous Wednesday, describe the project, and ask them if we needed a meeting with the whole community first. Together with Muryel Arantes, from ECAM, she described the process of mapping quilombola communities in Amapá.",
